Parameter,ClassVal0,Estimate,LowerCL,UpperCL
Intercept,,2.8565,2.5377,3.1784
SAVBAL_Bin,,-0.4714,-0.5413,-0.4024
SAV,,1.2935,1.0597,1.5310
NSF,,-0.4810,-0.6926,-0.2665
MM,,-0.7611,-0.9171,-0.6055
IRA,,-0.0520,-0.3855,0.2772
INV,,-0.5454,-0.8534,-0.2431
ILS,,0.4430,0.1954,0.6956
DDABAL_Bin,,-0.5128,-0.5737,-0.4528
DDA,,3.4906,3.1293,3.8579
ATMAMT_Bin,,-0.2112,-0.3055,-0.1172
BRANCH,B1,-0.3550,-0.5825,-0.1276
BRANCH,B10,-0.4563,-0.9530,0.0483
BRANCH,B11,-0.5430,-1.1355,0.0523
BRANCH,B12,-0.6973,-1.1019,-0.2857
BRANCH,B13,-0.5296,-0.9208,-0.1362
BRANCH,B14,2.1274,1.5437,2.7221
BRANCH,B15,1.8367,1.3115,2.3704
BRANCH,B16,0.2913,0.00385,0.5839
BRANCH,B17,-0.5694,-0.9042,-0.2325
BRANCH,B18,1.1221,0.5189,1.7334
BRANCH,B19,1.2383,0.5321,1.9597
BRANCH,B2,-0.3084,-0.5027,-0.1150
BRANCH,B3,-0.4734,-0.6981,-0.2491
BRANCH,B4,-0.4272,-0.6184,-0.2371
BRANCH,B5,-0.3584,-0.5817,-0.1355
BRANCH,B6,-0.4981,-0.7681,-0.2275
BRANCH,B7,-0.3111,-0.5828,-0.0378
BRANCH,B8,-0.5838,-0.8612,-0.3061
CC,,-0.2478,-0.3636,-0.1320
CDBAL_Bin,,-0.6776,-0.7845,-0.5723
CHECKS_Bin,,0.1438,0.0480,0.2396
TELLER_Bin,,-0.2813,-0.3676,-0.1951
SAVBAL_Bi*DDABAL_Bin,,0.0688,0.0526,0.0851
SAVBAL_Bin*DDA,,-0.6084,-0.7060,-0.5117
IRA*DDA,,-0.7371,-1.1634,-0.3091
SAVBAL_Bi*CHECKS_Bin,,0.0447,0.0192,0.0703
