Effect,DF,WaldChiSq,ProbChiSq
SAVBAL_Bin,1,177.0025,<.0001
SAV,1,115.7681,<.0001
NSF,1,19.6064,<.0001
MM,1,91.6752,<.0001
IRA,1,0.0948,0.7582
INV,1,12.2981,0.0005
ILS,1,12.0656,0.0005
DDABAL_Bin,1,276.2938,<.0001
DDA,1,352.8486,<.0001
ATMAMT_Bin,1,19.3363,<.0001
BRANCH,18,97.5617,<.0001
CC,1,17.5972,<.0001
CDBAL_Bin,1,156.6466,<.0001
CHECKS_Bin,1,8.6529,0.0033
TELLER_Bin,1,40.8647,<.0001
SAVBAL_Bi*DDABAL_Bin,1,68.9322,<.0001
SAVBAL_Bin*DDA,1,150.5879,<.0001
IRA*DDA,1,11.4536,0.0007
SAVBAL_Bi*CHECKS_Bin,1,11.7503,0.0006
